IdCustomer,Name,IdTransaction,DtTransaction,Points,Product,Quantity
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,fb4e3102-6125-414e-b086-e7f641e38f93,2024-01-27 11:53:23.774076801 +0000 UTC,1,ChatMessage,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,036b8d66-8adf-479b-ba0f-cb0e3207acb0,2024-01-27 11:53:24.642951804 +0000 UTC,1,ChatMessage,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,10166182-a164-4608-8cdf-35e4450b2bd7,2024-01-27 12:11:44.727959454 +0000 UTC,500,Resgatar Ponei,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,03974c58-e86e-4b6b-8143-8f89ca870d09,2024-01-27 12:19:41.062868882 +0000 UTC,1,ChatMessage,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,e84703a6-b606-4096-a2f3-514971c16c5c,2024-01-27 12:31:46.287727965 +0000 UTC,500,Resgatar Ponei,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,5ada03e9-672f-4386-a27d-3827b62c8c92,2024-01-27 12:31:47.228268042 +0000 UTC,500,Resgatar Ponei,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,f291f238-b09d-4151-8bde-0f66b0cbba3c,2024-01-27 13:03:41.81447868 +0000 UTC,1,ChatMessage,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,6501ca90-371f-43cb-8c57-463f6c4e564e,2024-01-27 13:11:47.629413597 +0000 UTC,1,ChatMessage,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,876473f8-7b23-4de4-9aeb-857067875c45,2024-01-27 13:41:16.404978597 +0000 UTC,1,ChatMessage,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,c4124d67-6366-4373-b8a0-1590ebf775fa,2024-01-27 20:23:33.705490231 +0000 UTC,1,ChatMessage,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,9be06d42-36e4-42ba-b320-142e042873ef,2024-01-27 21:05:29.112435732 +0000 UTC,1,ChatMessage,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,f7625520-4e03-44a1-8b3a-4cb904ebb170,2024-01-27 21:07:05.352282578 +0000 UTC,500,Resgatar Ponei,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,0d6cd269-38d3-4bb6-9b39-e724b2299d9b,2024-01-27 21:07:05.729717532 +0000 UTC,500,Resgatar Ponei,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,a8505730-a764-4ae5-93f4-12d5fa527f22,2024-01-27 21:17:50.273326205 +0000 UTC,1,ChatMessage,1
5f8fcbe0-6014-43f8-8b83-38cf2f4887b3,teomewhy,64e817a4-ea3f-4741-8c95-28e8d2ffdca7,2024-01-27 21:44:09.548650094 +0000 UTC,1,ChatMessage,1
2d3d2dce-d353-4961-ad39-46723efe2100,mariicmartins,ac18e5fd-eb6e-4d83-9bf1-bd8973fcd1b4,2024-01-29 11:55:05.127444831 +0000 UTC,1,ChatMessage,1
2d3d2dce-d353-4961-ad39-46723efe2100,mariicmartins,f5f48f35-94bd-4df8-ac57-7566ce2f09a1,2024-01-29 11:56:56.113062273 +0000 UTC,1,ChatMessage,1
c4f241f8-2140-4f72-b1a3-904fcc51e38c,otal_xandao,270948e3-a015-4255-be6a-36010d26b74d,2024-01-29 11:57:14.601504722 +0000 UTC,1,ChatMessage,1
2d3d2dce-d353-4961-ad39-46723efe2100,mariicmartins,78ba1dcf-9bed-4e0d-abd3-58ff60d4b47d,2024-01-29 11:58:21.81190945 +0000 UTC,1,ChatMessage,1
